"","year","mean_snow_water_equiv_mm","accum_snow_water_equiv_mm","max_snow_water_equiv_mm","sd_snow_water_equiv_mm"
"1","1966",69.8913043478261,6430,178,67.2174520316014
"2","1967",161.331506849315,58886,559,199.904378842525
"3","1968",101.366120218579,37100,320,122.589848960645
"4","1969",129.852054794521,47396,475,179.301177123909
"5","1970",112.402739726027,41027,358,124.897032285767
"6","1971",184.575342465753,67370,554,210.460152437372
"7","1972",131.147540983607,48000,419,163.478975505392
"8","1973",99.345205479452,36261,284,104.413359952474
"9","1974",126.021917808219,45998,505,174.138884705977
"10","1975",116.758904109589,42617,391,132.337426529059
"11","1976",137.5,50325,472,183.218482497719
"12","1977",33.6657534246575,12288,178,45.1065046696202
"13","1978",115.12602739726,42021,378,142.350849288794
"14","1979",107.358904109589,39186,394,140.754813549155
"15","1980",79.3524590163934,29043,335,109.86990479762
"16","1981",52.5890410958904,19195,203,68.8207249835742
"17","1982",136.465753424658,49810,475,155.155654048735
"18","1983",123.556164383562,45098,409,146.561562081444
"19","1984",111.704918032787,40884,312,113.164471542893
"20","1985",115.317808219178,42091,391,133.590784193957
"21","1986",101.317808219178,36981,417,136.585753104879
"22","1987",47.3780821917808,17293,211,69.2630720128956
"23","1988",62.6393442622951,22926,224,79.4898872424374
"24","1989",107.430136986301,39212,452,148.115798443676
"25","1990",52.3780821917808,19118,218,72.1352100522273
"26","1991",75.2109589041096,27452,221,77.065812394421
"27","1992",71.2295081967213,26070,246,87.6735339286507
"28","1993",112.191780821918,40950,399,150.205962767597
"29","1994",69.3315068493151,25306,231,84.5257111490384
"30","1995",117.019178082192,42712,419,152.338573053517
"31","1996",85.1311475409836,31158,302,99.9221848598837
"32","1997",139.079452054795,50764,485,187.695983259012
"33","1998",76.625,27585,246,91.6940591721469
"34","1999",109.361643835616,39917,409,146.634162614454
"35","2000",58.3306010928962,21349,259,85.853379270943
"36","2001",41.7643835616438,15244,150,53.2343393105474
"37","2002",68.3342465753425,24942,267,90.1082258614939
"38","2003",55.7150684931507,20336,211,71.561630380019
"39","2004",74.948087431694,27431,307,106.918840218141
"40","2005",72.586301369863,26494,257,86.7947960710707
"41","2006",99.1534246575342,36191,361,129.822780813633
"42","2007",54.1452054794521,19763,218,72.7364145411435
"43","2008",109.846994535519,40204,391,142.805120890626
"44","2009",77.1369863013699,28155,312,98.9389748463158
"45","2010",53.8328767123288,19649,190,65.6111757910175
"46","2011",116.627397260274,42569,406,141.355946613266
"47","2012",70.2677595628415,25718,295,95.570496960167
"48","2013",64.2657534246575,23457,218,77.5540439341719
"49","2014",88.0904109589041,32153,371,116.706168283814
"50","2015",54.6986301369863,19965,188,70.8378206806062
"51","2016",70.0109289617486,25624,269,95.3850158572795
"52","2017",76.9880239520958,25714,315,106.835591915744
